username,email,pass,numfollows
belinda,belinda@gmail.com,111,28
bob,bob@gmail.com,121,29
kyle,kyle@gmail.com,222,0
cindy,cindy@gmail.com,131,1
chris,dick@gmail.com,141,1
steven,steven@gmail.com,151,2
frank,frank@gmail.com,161,1
gellert,gellert@gmail.com,171,1
henry,henry@gmail.com,181,1
lily,lily@gmail.com,191,1
jacob,jacob@gmail.com,211,1
rory,rory@gmail.com,212,1
lary,lary@gmail.com,213,1
mary,mary@gmail.com,214,1
nancy,nancy@gmail.com,215,1
jessie,jessie@gmail.com,216,1
steph,steph@gmail.com,217,1
calvin,calvin@gmail.com,218,1
mario,mario@gmail.com,219,1
peter,peter@gmail.com,311,1
raoul,raoul@gmail.com,312,1
brian,brian@gmail.com,313,1
conner,conner@gmail.com,314,1
mustafa,mustafa@gmail.com,315,1
tohsaka,tohsaka@gmail.com,316,3
mychul,mychul@gmail.com,317,2
billy,billy@gmail.com,318,1
tom,tom@gmail.com,319,1
sally,sally@gmail.com,333,1
sharon,sharon@gmail.com,123,1
